,table_name,table_schema
,COLUMNS,information_schema
,COLUMN_PRIVILEGES,information_schema
,FILES,information_schema
,PLUGINS,information_schema
,SESSION_STATUS,information_schema
,SESSION_VARIABLES,information_schema
,TABLES,information_schema
,USER_PRIVILEGES,information_schema
,db_default,Member_Brute_Force
,users,Member_Sql_Injection
,guestbook,Member_guestbook
,list_images,Member_images
,vote_dbs,Member_survey
